ticker,year,value,source,source_url,retrieved,note
A,2025,1.5492,SEC XBRL companyfacts,https://data.sec.gov/api/xbrl/companyfacts/CIK0001090872.json,2026-09-12,"6y window ending 2025, mean_growth=0.0570"
AAPL,2025,1.4989,SEC XBRL companyfacts,https://data.sec.gov/api/xbrl/companyfacts/CIK0000320193.json,2026-09-12,"6y window ending 2025, mean_growth=0.0934"
ABBV,2025,1.6687,SEC XBRL companyfacts,https://data.sec.gov/api/xbrl/companyfacts/CIK0001551152.json,2026-09-12,"6y window ending 2025, mean_growth=0.0637"
ABT,2025,2.123,SEC XBRL companyfacts,https://data.sec.gov/api/xbrl/companyfacts/CIK0000001800.json,2026-09-12,"6y window ending 2025, mean_growth=0.0559"
ACGL,2025,0.6241,SEC XBRL companyfacts,https://data.sec.gov/api/xbrl/companyfacts/CIK0000947484.json,2026-09-12,"6y window ending 2025, mean_growth=0.2429"
ACN,2025,0.8551,SEC XBRL companyfacts,https://data.sec.gov/api/xbrl/companyfacts/CIK0001467373.json,2026-09-12,"6y window ending 2025, mean_growth=0.0971"
ADBE,2025,0.406,SEC XBRL companyfacts,https://data.sec.gov/api/xbrl/companyfacts/CIK0000796343.json,2026-09-12,"6y window ending 2025, mean_growth=0.1315"
ADI,2025,1.7962,SEC XBRL companyfacts,https://data.sec.gov/api/xbrl/companyfacts/CIK0000006281.json,2026-09-12,"6y window ending 2025, mean_growth=0.1814"
ADM,2025,3.2563,SEC XBRL companyfacts,https://data.sec.gov/api/xbrl/companyfacts/CIK0000007084.json,2026-09-12,"6y window ending 2025, mean_growth=0.0580"
ADP,2026,0.195,SEC XBRL companyfacts,https://data.sec.gov/api/xbrl/companyfacts/CIK0000008670.json,2026-09-12,"6y window ending 2026, mean_growth=0.0791"
ADSK,2026,0.2261,SEC XBRL companyfacts,https://data.sec.gov/api/xbrl/companyfacts/CIK0000769397.json,2026-09-12,"6y window ending 2026, mean_growth=0.1374"
AEE,2025,1.629,SEC XBRL companyfacts,https://data.sec.gov/api/xbrl/companyfacts/CIK0001002910.json,2026-09-12,"6y window ending 2025, mean_growth=0.0748"
AEP,2025,0.974,SEC XBRL companyfacts,https://data.sec.gov/api/xbrl/companyfacts/CIK0000004904.json,2026-09-12,"6y window ending 2025, mean_growth=0.0820"
AES,2025,1.6667,SEC XBRL companyfacts,https://data.sec.gov/api/xbrl/companyfacts/CIK0000874761.json,2026-09-12,"6y window ending 2025, mean_growth=0.0511"
AFL,2025,1.1651,SEC XBRL companyfacts,https://data.sec.gov/api/xbrl/companyfacts/CIK0000004977.json,2026-09-12,"6y window ending 2025, mean_growth=-0.0484"
AIG,2025,3.5789,SEC XBRL companyfacts,https://data.sec.gov/api/xbrl/companyfacts/CIK0000005272.json,2026-09-12,"6y window ending 2025, mean_growth=-0.0663"
AIZ,2025,0.8448,SEC XBRL companyfacts,https://data.sec.gov/api/xbrl/companyfacts/CIK0001267238.json,2026-09-12,"6y window ending 2025, mean_growth=0.0495"
AJG,2025,0.4273,SEC XBRL companyfacts,https://data.sec.gov/api/xbrl/companyfacts/CIK0000354190.json,2026-09-12,"6y window ending 2025, mean_growth=0.1491"
AKAM,2017,0.5667,SEC XBRL companyfacts,https://data.sec.gov/api/xbrl/companyfacts/CIK0001086222.json,2026-09-12,"6y window ending 2017, mean_growth=0.1293"
ALB,2025,3.3022,SEC XBRL companyfacts,https://data.sec.gov/api/xbrl/companyfacts/CIK0000915913.json,2026-09-12,"6y window ending 2025, mean_growth=0.2081"
ALGN,2025,2.1512,SEC XBRL companyfacts,https://data.sec.gov/api/xbrl/companyfacts/CIK0001097149.json,2026-09-12,"6y window ending 2025, mean_growth=0.1245"
ALL,2025,0.5635,SEC XBRL companyfacts,https://data.sec.gov/api/xbrl/companyfacts/CIK0000899051.json,2026-09-12,"6y window ending 2025, mean_growth=0.0870"
ALLE,2025,0.5212,SEC XBRL companyfacts,https://data.sec.gov/api/xbrl/companyfacts/CIK0001579241.json,2026-09-12,"6y window ending 2025, mean_growth=0.0845"
AMAT,2025,1.2033,SEC XBRL companyfacts,https://data.sec.gov/api/xbrl/companyfacts/CIK0000006951.json,2026-09-12,"6y window ending 2025, mean_growth=0.1112"
AMCR,2026,2.0434,SEC XBRL companyfacts,https://data.sec.gov/api/xbrl/companyfacts/CIK0001748790.json,2026-09-12,"6y window ending 2026, mean_growth=0.1586"
AMD,2025,0.8892,SEC XBRL companyfacts,https://data.sec.gov/api/xbrl/companyfacts/CIK0000002488.json,2026-09-12,"6y window ending 2025, mean_growth=0.3121"
AME,2025,1.7635,SEC XBRL companyfacts,https://data.sec.gov/api/xbrl/companyfacts/CIK0001037868.json,2026-09-12,"6y window ending 2025, mean_growth=0.1509"
AMGN,2025,0.8914,SEC XBRL companyfacts,https://data.sec.gov/api/xbrl/companyfacts/CIK0000318154.json,2026-09-12,"6y window ending 2025, mean_growth=0.0782"
AMP,2025,0.3397,SEC XBRL companyfacts,https://data.sec.gov/api/xbrl/companyfacts/CIK0000820027.json,2026-09-12,"6y window ending 2025, mean_growth=0.0964"
AMT,2025,1.6452,SEC XBRL companyfacts,https://data.sec.gov/api/xbrl/companyfacts/CIK0001053507.json,2026-09-12,"6y window ending 2025, mean_growth=0.0617"
AMZN,2025,0.3657,SEC XBRL companyfacts,https://data.sec.gov/api/xbrl/companyfacts/CIK0001018724.json,2026-09-12,"6y window ending 2025, mean_growth=0.1326"
ANET,2025,0.3433,SEC XBRL companyfacts,https://data.sec.gov/api/xbrl/companyfacts/CIK0001596532.json,2026-09-12,"6y window ending 2025, mean_growth=0.3154"
AON,2025,0.5852,SEC XBRL companyfacts,https://data.sec.gov/api/xbrl/companyfacts/CIK0000315293.json,2026-09-12,"6y window ending 2025, mean_growth=0.0930"
AOS,2025,1.8499,SEC XBRL companyfacts,https://data.sec.gov/api/xbrl/companyfacts/CIK0000091142.json,2026-09-12,"6y window ending 2025, mean_growth=0.0542"
APD,2025,1.7623,SEC XBRL companyfacts,https://data.sec.gov/api/xbrl/companyfacts/CIK0000002969.json,2026-09-12,"6y window ending 2025, mean_growth=0.0686"
APH,2025,0.8257,SEC XBRL companyfacts,https://data.sec.gov/api/xbrl/companyfacts/CIK0000820313.json,2026-09-12,"6y window ending 2025, mean_growth=0.2299"
APTV,2025,0.895,SEC XBRL companyfacts,https://data.sec.gov/api/xbrl/companyfacts/CIK0001521332.json,2026-09-12,"6y window ending 2025, mean_growth=0.0959"
ARES,2025,0.3813,SEC XBRL companyfacts,https://data.sec.gov/api/xbrl/companyfacts/CIK0001176948.json,2026-09-12,"6y window ending 2025, mean_growth=0.2232"
ATO,2025,1.0152,SEC XBRL companyfacts,https://data.sec.gov/api/xbrl/companyfacts/CIK0000731802.json,2026-09-12,"6y window ending 2025, mean_growth=0.1123"
AVGO,2025,0.6081,SEC XBRL companyfacts,https://data.sec.gov/api/xbrl/companyfacts/CIK0001730168.json,2026-09-12,"6y window ending 2025, mean_growth=0.2232"
AVY,2025,1.9357,SEC XBRL companyfacts,https://data.sec.gov/api/xbrl/companyfacts/CIK0000008818.json,2026-09-12,"6y window ending 2025, mean_growth=0.0529"
AWK,2025,0.9806,SEC XBRL companyfacts,https://data.sec.gov/api/xbrl/companyfacts/CIK0001410636.json,2026-09-12,"6y window ending 2025, mean_growth=0.0663"
AXON,2025,0.1227,SEC XBRL companyfacts,https://data.sec.gov/api/xbrl/companyfacts/CIK0001069183.json,2026-09-12,"6y window ending 2025, mean_growth=0.3253"
AXP,2025,0.738,SEC XBRL companyfacts,https://data.sec.gov/api/xbrl/companyfacts/CIK0000004962.json,2026-09-12,"6y window ending 2025, mean_growth=0.1381"
AZO,2025,0.6003,SEC XBRL companyfacts,https://data.sec.gov/api/xbrl/companyfacts/CIK0000866787.json,2026-09-12,"6y window ending 2025, mean_growth=0.0853"
BA,2025,1.7485,SEC XBRL companyfacts,https://data.sec.gov/api/xbrl/companyfacts/CIK0000012927.json,2026-09-12,"6y window ending 2025, mean_growth=0.1017"
BAC,2025,0.5474,SEC XBRL companyfacts,https://data.sec.gov/api/xbrl/companyfacts/CIK0000070858.json,2026-09-12,"6y window ending 2025, mean_growth=0.0578"
BALL,2017,2.2526,SEC XBRL companyfacts,https://data.sec.gov/api/xbrl/companyfacts/CIK0000009389.json,2026-09-12,"6y window ending 2017, mean_growth=0.0519"
